idAjusteDirecto,contract_description,type_spender,type_spender1,type_spender2,name_spender,CIF_spender,name_receiver,CIF_receiver,dataCelebracaoContrato,precoContratual,region1,region2,region3
156134,Fornecimento de dois analisadores de energia eléctrica trifásicos portáteis.,Administração Pública,AREAM - Agência Regional da Energia e Ambiente da Região Autónoma da Madeira,Agência,AREAM - Agência Regional da Energia e Ambiente da Região Autónoma da Madeira,511058012,"FFONSECA, SA",500833982,2010-05-14T00:00:00Z,6517,Portugal,Região Autónoma da Madeira,Funchal
164067,Aluguer de Pista de Gelo Artificial 40m2 (8mx5m),Administração Pública,Agência para a Promoção da Guarda,Agência,Agência para a Promoção da Baixa de Coimbra,506483720,"Pluri-Diverte, Expl. de Equip. de Diversão, Lda",506864715,2009-11-12T00:00:00Z,27500,Portugal,Coimbra,Coimbra
174050,Concessão do direito de exploração da Cafetaria do Pavilhão do Conhecimento - Ciência Viva.,Administração Pública,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,Agência,Ciência Viva - Agência Nacional para a Cultura Científica e Tecnológica,504300156,"Quinta das Lágrimas - Actividades Hoteleiras, S.A.",503001490,2010-08-23T00:00:00Z,0,Portugal,Lisboa,Lisboa
180148,Aquisição de serviços de consultoria económica e projectos de investimento no ambito do projecto PROVERE AX - EIXO 5 - MAIS CENTRO,Administração Pública,ADXTUR - Agência para o Desenvolvimento Turístico das Aldeias do Xisto,Agência,ADXTUR - Agência para o Desenvolvimento Turístico das Aldeias do Xisto,507925270,RUI CARLOS GOMES DIAS,225456508,2009-06-22T00:00:00Z,6750,Portugal,Castelo Branco,Fundão
180169,"Aquisição de serviços de Consultoria em Animação Turistica, no âmbito do projecto PROVERE AX - EIXO 5- MAIS CENTRO",Administração Pública,ADXTUR - Agência para o Desenvolvimento Turístico das Aldeias do Xisto,Agência,ADXTUR - Agência para o Desenvolvimento Turístico das Aldeias do Xisto,507925270,"YTRAVEL, LDA",507693337,2009-06-26T00:00:00Z,10500,Portugal,Castelo Branco,Fundão
180179,"Aquisição de Serviços de Consultoria Financeira e Auditoria, no âmbito do projecto PROVERE AX - EIXO 5 - MAIS CENTRO",Administração Pública,ADXTUR - Agência para o Desenvolvimento Turístico das Aldeias do Xisto,Agência,ADXTUR - Agência para o Desenvolvimento Turístico das Aldeias do Xisto,507925270,"TRAVEMESTRA, LDA",506121755,2009-06-22T00:00:00Z,2700,Portugal,Castelo Branco,Fundão
186941,O procedimento tem por objecto a celebração de contrato de aquisição de serviços de realização de um inquérito à população da cidade do Porto sobre os seus conhecimentos e hábitos de utilização de energia.  Os serviços a contratar no âmbito do serviço de realização de um inquérito à população da cidade do Porto sãoa)revisão do conteúdo do inquérito  b)definição da amostra e do procedimento de amostragemc)realização do inquérito presencial por inquiridores formados para o efeito d)inserção em base de dados e tratamento estatísticoe)elaboração de relatório estatísticof)elaboração de relatório interpretativo da sondagemg)outras questões afectas ao inquérito.,Administração Pública,ADEPORTO - Agência de Energia do Porto,Agência,ADEPORTO - Agência de Energia do Porto,507886550,Universidade Católica Portuguesa - Centro de Estudos e Sondagens de Opiniões,501082522,2010-08-10T00:00:00Z,22000,Portugal,Porto,Porto
187856,Prestação de serviços de elaboração do Projecto de Execução e demais documentos relativos à Empreitada de Beneficiação e Recuperação de Percursos Pedestres Recomendados na Região Autónoma da Madeira.,Administração Pública,ADERAM - Agência de Desenvolvimento da Região Autónoma da Madeira,Agência,ADERAM - Agência de Desenvolvimento da R.A.Madeira,511127626,Alexandre Bernardo Freitas Soveral Ferreira,149294980,2010-10-14T00:00:00Z,11900,Portugal,Região Autónoma da Madeira,Portugal
189566,"Realização do Festival de Música Os Sons de Almada Velha, ano 2010",Administração Pública,Novalmadavelha - Agência de Desenvolvimento Local,Agência,Novalmadavelha - Agência de Desenvolvimento Local,504974688,"Almamúsica Produções Musicais, Lda",506111423,2010-09-24T00:00:00Z,26459.15,Portugal,Setúbal,Almada
200263,Proceder à recolha e tratamento científico e técnico dos conteúdos que irão integrar seis painéis promocionais a instalar em áreas de serviço das auto-estradas A23 e A25 sendo estes conteúdos posteriormente objecto de tratamento gráfico e de design.,Administração Pública,Agência para a Promoção da Guarda,Agência,Agência para a Promoção da Guarda,507995422,Mote Antigo Unipessoal Lda,509044590,2010-01-22T00:00:00Z,6000,Portugal,Guarda,Guarda
